Trans Date,Post Date,Description,Category,Charge,Credit
8/6/17,8/6/17,TRADER JOE'S,Grocery,-17.81,
8/6/17,8/6/17,POLE PRESSURE,Gym,-153.34,
8/6/17,8/6/17,OLD NAVY,Shopping,-114.71,
8/5/17,8/5/17,GIANT,Grocery,-27.86,
8/1/17,8/2/17,PLT*PLATED,Grocery,-71.7,
7/31/17,8/2/17,BED BATH &amp; BEYOND #1177,Shopping,-33.83,
7/31/17,8/2/17,BED BATH &amp; BEYOND #1177,Shopping,42.29,
7/31/17,8/1/17,FLAWLESS BEAUTY LLC,Toiletries,-72.98,
7/30/17,8/1/17,MAPLE,Dining,-38,
7/30/17,8/1/17,BED BATH &amp; BEYOND #1177,Shopping,-42.29,
7/30/17,8/1/17,BED BATH &amp; BEYOND #1081,Shopping,-17.96,
7/30/17,8/1/17,EXXONMOBIL 47886346,Transportation,-35,
7/28/17,7/30/17,HARRIS TEETER #352,Grocery,-34.48,
7/28/17,7/30/17,WE THE PIZZA,Dining,-71.32,
7/27/17,7/30/17,TONIC AT QUIGLEYS,Dining,-44,
7/27/17,7/27/17,Payment Thank You - Web,Payment,,700
7/25/17,7/26/17,PLT*PLATED,Shopping,-79.7,
7/25/17,7/26/17,VINOTECA,Dining,-31,
7/25/17,7/27/17,Farmers &amp; Distillers,Dining,-34,
7/25/17,7/26/17,AmazonFresh,Shopping,-90.93,
7/23/17,7/24/17,TARGET 00022590,Shopping,-17.08,
7/23/17,7/24/17,BEST BUY 00010926,Shopping,-607.97,
7/23/17,7/24/17,GIANT 2376,Shopping,-38.24,
7/23/17,7/23/17,TAQUERIA HABANERO,Dining,-165,
