Trans Date,Post Date,Description,Category,Charge,Credit
7/31/17,7/31/17,ACH PAYMENT RECEIVED,Payment,,331
7/28/17,7/31/17,CLASSPASSCOM CLASSPAS 877-887-7815 NY,Gym,58.16,
7/21/17,7/24/17,METRO FARE AUTOLOAD 202-962-5711 DC,Transportation,50,
7/20/17,7/24/17,TED BULLETIN FAIRFAX VA,Dining,41,
7/18/17,7/19/17,PLTPLATED 855-5252399 NY,Grocery,95.6,
7/18/17,7/19/17,VERIZONRECURRING PAY 800-VERIZON FL,Entertainment,85.57,
7/17/17,7/19/17,JOHN F KENNEDY CENTER 202-416-8540 DC,Entertainment,180.12,
7/17/17,7/18/17,ACH PAYMENT RECEIVED,Payment,,1034.31
7/16/17,7/18/17,GAP ONLINE 800-4277895 OH,Shopping,,142.64
7/15/17,7/17/17,TARGET 00022590 WASHINGTON DC,Shopping,13.73,
7/15/17,7/17/17,GIANT 0378 WASHINGTON DC,Grocery,53.2,
7/13/17,7/14/17,CLASSPASS MONTHLY 8778877815 NY,Gym,30.67,
7/12/17,7/13/17,AmazonFresh wwwAMZNfrsh WA,Grocery,58,
7/11/17,7/12/17,PLTPLATED 855-5252399 NY,Grocery,79.7,
7/6/17,7/11/17,SOFIA VILLAGE MYKONOS,Travel,296.89,
7/5/17,7/7/17,JETBLUE 2798609161574 CAMBRIDGE MA,Travel,616,
7/5/17,7/6/17,HOPPER WWWHOPPERCO MA,Travel,5,
6/30/17,7/3/17,AMERICAN AIR0012135707512FORT WORTH TX,Travel,,78.18
6/30/17,7/3/17,AMERICAN AIR0012135694554FORT WORTH TX,Travel,,78.18
6/30/17,6/30/17,ACH PAYMENT RECEIVED,Payment,,156.36
6/29/17,6/29/17,ACH PAYMENT RECEIVED,Payment,,1130.95
6/27/17,6/29/17,AMERICAN AIR0012135707512 FORT WORTH TX,Travel,78.18,
6/27/17,6/29/17,AMERICAN AIR0012135694554 FORT WORTH TX,Travel,78.18,
6/24/17,6/26/17,TILLYS 139 WOODBRIDGE VA,Shopping,52.99,
6/24/17,6/26/17,ULTA 629 WOODBRIDGE VA,Shopping,22.77,
6/24/17,6/26/17,NEW YORK COMPANY 3564 WOODBRIDGE VA,Shopping,28.04,
6/22/17,6/23/17,PLTPLATED 855-5252399 NY,Grocery,71.7,
6/22/17,6/22/17,ACH PAYMENT RECEIVED,Payment,,406
6/21/17,6/22/17,EXPEDIA 7274620871002 EXPEDIACOM WA,Travel,106.86,
6/20/17,6/21/17,PLTPLATED 855-5252399 NY,Grocery,79.7,
6/20/17,6/21/17,EXPEDIA 7274351577585 EXPEDIACOM WA,Travel,130.6,
6/19/17,6/20/17,EXPEDIA 7274097114376 EXPEDIACOM WA,Travel,130,
6/19/17,6/20/17,VERIZONRECURRING PAY 800-VERIZON FL,Bills,85.57,
6/18/17,6/20/17,GAP ONLINE 800-4277895 OH,Shopping,142.64,
6/17/17,6/19/17,JESSIE TAYLOR SEAFOOD WASHINGTON DC,Grocery,95,
6/18/17,6/19/17,TARGET 00022590 WASHINGTON DC,Shopping,72.41,
6/17/17,6/19/17,GAP ONLINE 800-4277895 OH,Shopping,34.87,
6/17/17,6/19/17,GAP ONLINE 800-4277895 OH,Shopping,19,
6/15/17,6/19/17,SUNOCO 0542129201 ALEXANDRIA VA,Transportation,33.78,
6/15/17,6/16/17,TARGET 00014167 SPRINGFIELD VA,Shopping,,79.29
6/13/17,6/15/17,ETIX -Cat Cradle 800-5143849 NC,Entertainment,28.2,
6/13/17,6/14/17,PLTPLATED 855-5252399 NY,Grocery,71.7,
6/13/17,6/14/17,AMAZON MKTPLACE PMTS AMZNCOMBILL WA,Shopping,34.99,
6/13/17,6/14/17,AMAZON MKTPLACE PMTS AMZNCOMBILL WA,Shopping,88.13,
6/13/17,6/14/17,WALMARTCOM 8009666546 800-966-6546 AR,Shopping,54.61,
6/13/17,6/13/17,TARGETCOM 800-591-3869 MN,Shopping,9.51,
6/12/17,6/12/17,Amazoncom AMZNCOMBILL WA,Shopping,59.22,
6/12/17,6/12/17,TARGETCOM 800-591-3869 MN,Shopping,31.08,
6/11/17,6/12/17,NEW YORK CO 922 SILVER SPRING MD,Shopping,,44.48
6/11/17,6/12/17,ALL SET RESTAURANT BAR SILVER SPRING MD,Dining,30,
6/6/17,6/7/17,PLTPLATED 855-5252399 NY,Grocery,71.7,
6/5/17,6/6/17,NEW YORK COMPANY MOTO 800-525-7762 NY,Shopping,50.7,
