Trans Date,Post Date,Description,Category,Charge,Credit
8/2/17,8/2/17,SEPHORA.COM 877-SEPHORA CA,Shopping,-10.58,
7/29/17,7/29/17,ONLINE PAYMENT,Payment,,9.5
7/23/17,7/23/17,WEBFACTION WEBFACTION 448458620318 GB,Bills,-9.5,
7/17/17,7/17/17,ONLINE PAYMENT,Payment,,13.52
7/10/17,7/10/17,UBER TRIP EEB3P HELP.UBER.COMCA,Transportation,-2.94,
7/5/17,7/5/17,SEPHORA.COM 877-SEPHORA CA,Shopping,-10.58,
6/27/17,6/27/17,ONLINE PAYMENT,Payment,,73.44
6/23/17,6/23/17,WEBFACTION WEBFACTION 448458620318 GB,Bills,-9.5,
6/16/17,6/16/17,UBER US JUN16 AN7J3 HELP.UBER.COMCA,Transportation,-2.49,
6/15/17,6/15/17,TARGET 00014167 SPRINGFIELD VA,Payment,,33.84
6/8/17,6/8/17,IMPARK00510137A WASHINGTON DC,Transportation,-12,
6/7/17,6/7/17,UBER US JUN06 WDMJF HELP.UBER.COMCA,Transportation,-5.4,
6/7/17,6/7/17,UBER US JUN06 BTGRA HELP.UBER.COMCA,Transportation,-3.06,
6/2/17,6/2/17,SEPHORA.COM 877-SEPHORA CA,Shopping,-10.58,
6/1/17,6/1/17,ONLINE PAYMENT,Payment,,139.78
