Trans Date,Post Date,Description,Category,Charge,Credit
8/4/17,8/4/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-4,
8/4/17,8/4/17,Digit Savings WksfRRBjFf-Jejz Brittany Mayes,Savings,-3.06,
8/4/17,8/4/17,PURCHASE AUTHORIZED ON 08/02 LYFT *RIDE WED 2 LYFT.COM CA S587215087823473 CARD 3435,Transportation,-20.55,
8/4/17,8/4/17,PURCHASE AUTHORIZED ON 08/02 MT HIAW TVM LNBERG MINNEAPOLIS MN S587214816040346 CARD 3435,Transportation,-2.25,
8/4/17,8/4/17,PURCHASE AUTHORIZED ON 08/02 PARADIES #9391 DCA ARLINGTON VA S307214686356855 CARD 3435,Dining,-23.84,
8/3/17,8/3/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-2,
8/3/17,8/3/17,Digit Savings ZJzh12_5Yf-Jlfn Brittany Mayes,Savings,-3.58,
8/3/17,8/3/17,PURCHASE AUTHORIZED ON 08/02 SOTAROL STADIUM VI MINNEAPOLIS MN S467215044870452 CARD 3435,Dining,-37.24,
8/2/17,8/2/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
8/2/17,8/2/17,Digit Savings -kwNlFoFKzWJgPV Brittany Mayes,Savings,-28.1,
8/2/17,8/2/17,PURCHASE AUTHORIZED ON 08/01 IMPARK00510137A WASHINGTON DC S307213783581894 CARD 3435,Transportation,-12,
8/2/17,8/2/17,PURCHASE AUTHORIZED ON 07/31 SEASONS CULINARY S WASHINGTON DC S467212626545090 CARD 3435,Dining,-7.65,
8/2/17,8/2/17,VENMO CASHOUT XXXXX6255 BRITTANY MAYES,Transfer,,249.98
8/1/17,8/1/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-6,
8/1/17,8/1/17,Digit Savings -1U50SAuFz-ye8q Brittany Mayes,Savings,-11.53,
8/1/17,8/1/17,NFCU ACH PAYMENT 170731 811193440000002 BRITTANY MAYES,Payment,-331,
8/1/17,8/1/17,PURCHASE AUTHORIZED ON 07/31 GIANT 0378 WASHINGTON DC P00587213065869984 CARD 3435,Grocery,-11.96,
8/1/17,8/1/17,PURCHASE AUTHORIZED ON 07/31 IMPARK00510137A WASHINGTON DC S307212826766921 CARD 3435,Transportation,-7.5,
8/1/17,8/1/17,PURCHASE AUTHORIZED ON 07/31 IMPARK00510137A WASHINGTON DC S307212588156667 CARD 3435,Transportation,-6,
8/1/17,8/1/17,PURCHASE AUTHORIZED ON 07/31 LYFT *RIDE SUN 1 LYFT.COM CA S387212188710637 CARD 3435,Transportation,-6.62,
7/31/17,7/31/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-14,
7/31/17,7/31/17,Digit Savings Wk8lWXW_YzbJgLl Brittany Mayes,Savings,-2.02,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/31 HARRIS TE 1201 FIRST S WASHINGTON DC P00000000484075445 CARD 3435,Grocery,-30.1,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/31 UNLEASHED 5817 WASHINGTON DC P00000000847577117 CARD 3435,Shopping,-18.05,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/30 GIANT 0378 WASHINGTON DC P00387212039376520 CARD 3435,Grocery,-14.24,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/30 TARGET T- 3100 14th St Washington DC P00000000334781169 CARD 3435,Shopping,-15.37,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/30 DAIRY QUEEN #15373 WOODBRIDGE VA S587211791991510 CARD 3435,Dining,-9.09,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 LYFT *RIDE SAT 1 LYFT.COM CA S467211103295908 CARD 3435,Transportation,-11,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 LYFT *RIDE SAT 7 LYFT.COM CA S387211083311620 CARD 3435,Transportation,-4.8,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 LYFT *RIDE SAT 4 LYFT.COM CA S467210837185630 CARD 3435,Transportation,-5.15,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 FANDANGO.COM FANDANGO.COM CA S387210710241905 CARD 3435,Entertainment,-14.81,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 UBER US JUL29 S6 HELP.UBER.COM CA S387210619886475 CARD 3435,Transportation,-4.51,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/29 UBER US JUL29 DV HELP.UBER.COM CA S587210556279581 CARD 3435,Transportation,-3.71,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/30 FANDANGO.COM FANDANGO.COM CA S467210547207860 CARD 3435,Entertainment,-14.81,
7/31/17,7/31/17,ONLINE TRANSFER REF #IBECNPNYRY TO COLLEGE CARD XXXXXXXXXXXX1764 ON 07/29/17,Payment,-9.5,
7/31/17,7/31/17,PURCHASE AUTHORIZED ON 07/28 LYFT *RIDE THU 1 LYFT.COM CA S587209792873508 CARD 3435,Transportation,-6.05,
7/28/17,7/28/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-6,
7/28/17,7/28/17,Digit Savings -JWyQ5FHKMZ1x-J Brittany Mayes,Savings,-5.95,
7/28/17,7/28/17,Stackhouse Manag WEB PMTS 072817 76JKP3 Brittany Mayes,Bills,-737.5,
7/28/17,7/28/17,CHASE CREDIT CRD EPAY 170727 3180208623 BRITTANY R MAYES,Payment,-700,
7/28/17,7/28/17,PW Resident Dire WEB PMTS 072817 V8TKP3 Brittany Mayes,Bills,-1.95,
7/28/17,7/28/17,PURCHASE AUTHORIZED ON 07/28 HARRIS TE 1201 FIRST S WASHINGTON DC P00000000755573377 CARD 3435,Grocery,-5.99,
7/28/17,7/28/17,PURCHASE AUTHORIZED ON 07/27 UBER US JUL27 NM HELP.UBER.COM CA S307208760636199 CARD 3435,Transportation,-9.15,
7/27/17,7/27/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-1,
7/27/17,7/27/17,PURCHASE AUTHORIZED ON 07/27 HARRIS TE 1201 FIRST S WASHINGTON DC P00000000684708801 CARD 3435,Grocery,-4.29,
7/27/17,7/27/17,NATL PUB RADIO PAYROLL 170725 XXXXX0379 Mayes Brittany,Paycheck,,1667.73
7/24/17,7/24/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-7,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/23 UBER US JUL23 IS HELP.UBER.COM CA S387205021516830 CARD 3435,Transportation,-3.98,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/23 LYFT *RIDE SAT 9 LYFT.COM CA S387205021122618 CARD 3435,Transportation,-6.08,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/23 Smith Public Trust Washington DC S307204038603620 CARD 3435,Entertainment,-11,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/22 CVS/PHARMACY #01 01333 WASHINGTON DC P00587203818583615 CARD 3435,Shopping,-2.09,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/22 UBER TRIP LCDL3 HELP.UBER.COM CA S467203813972090 CARD 3435,Transportation,-8.88,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/21 LYFT *RIDE THU 9 LYFT.COM CA S307203072712010 CARD 3435,Transportation,-5.25,
7/24/17,7/24/17,PURCHASE AUTHORIZED ON 07/21 & PIZZA CHINATOWN WASHINGTON DC S307203008429964 CARD 3435,Dining,-13.25,
7/21/17,7/21/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-4,
7/21/17,7/21/17,Digit Payment -y2UMihyFz-kghL Brittany Mayes,Savings,-2.99,
7/21/17,7/21/17,PURCHASE AUTHORIZED ON 07/20 LYFT *RIDE THU 1 LYFT.COM CA S387201788805084 CARD 3435,Transportation,-7.55,
7/21/17,7/21/17,PURCHASE AUTHORIZED ON 07/20 LYFT *RIDE THU 1 LYFT.COM CA S387201603630285 CARD 3435,Transportation,-10.31,
7/21/17,7/21/17,PURCHASE AUTHORIZED ON 07/20 LYFT *RIDE WED 6 LYFT.COM CA S307201561187557 CARD 3435,Transportation,-6.01,
7/20/17,7/20/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
7/20/17,7/20/17,Digit Savings Zyo4XXeytzbyeoN Brittany Mayes,Savings,-32.89,
7/20/17,7/20/17,RECURRING PAYMENT AUTHORIZED ON 07/19 NEW YORK TIMES DIG 800-698-4637 NY S587200724722540 CARD 4759,Entertainment,-8.06,
7/20/17,7/20/17,PURCHASE AUTHORIZED ON 07/18 CHICK-FIL-A #03400 WASHINGTON DC S587200009474850 CARD 3435,Dining,-10.04,
7/19/17,7/19/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-6,
7/19/17,7/19/17,Digit Savings Wyd3ZeQRuG-1e_n Brittany Mayes,Savings,-25.17,
7/19/17,7/19/17,NFCU ACH PAYMENT 170718 806801630000002 BRITTANY MAYES,Payment,-1034.31,
7/19/17,7/19/17,Stackhouse Manag WEB PMTS 071917 QQTBP3 Brittany Mayes,Bills,-737.5,
7/19/17,7/19/17,PW Resident Dire WEB PMTS 071917 Y3YBP3 Brittany Mayes,Bills,-1.95,
7/19/17,7/19/17,PURCHASE AUTHORIZED ON 07/18 UBER US JUL18 U7 HELP.UBER.COM CA S307199800624110 CARD 3435,Transportation,-10.88,
7/19/17,7/19/17,PURCHASE AUTHORIZED ON 07/18 LYFT *RIDE MON 5 LYFT.COM CA S307199785918396 CARD 3435,Transportation,-4.85,
7/18/17,7/18/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-2,
7/18/17,7/18/17,Hello Digit Inc. Savings WyRa76BauGbkxA6 Brittany Mayes,Savings,-18.89,
7/18/17,7/18/17,PURCHASE AUTHORIZED ON 07/17 PEPE WASHINGTON DC S387198598446990 CARD 4759,Dining,-14.38,
7/18/17,7/18/17,"ATM CASH DEPOSIT ON 07/18 1200 1ST STREET NE , WASHINGTON DC 0004613 ATM ID 1234V CARD 3435",Payment,,255
7/17/17,7/17/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
7/17/17,7/17/17,Hello Digit Inc. Savings byDJbsdhOzbklvJ Brittany Mayes,Savings,-14.18,
7/17/17,7/17/17,ONLINE TRANSFER REF #IBENCT7LV8 TO COLLEGE CARD XXXXXXXXXXXX1764 ON 07/17/17,Payment,-13.52,
7/17/17,7/17/17,ONLINE TRANSFER TO MAYES B REF #IB03LJ7M6S WAY2SAVE SAVINGS SIGNING BONUS,Savings,-998.23,
7/17/17,7/17/17,PURCHASE AUTHORIZED ON 07/15 SAFEWAY STORE 2808 WASHINGTON DC P00000000435662704 CARD 4759,Grocery,-13.08,
7/17/17,7/17/17,PURCHASE AUTHORIZED ON 07/14 SQ *TIMBER PIZZA C Washington DC S587196001076995 CARD 4759,Dining,-20.24,
7/17/17,7/17/17,MOBILE DEPOSIT : REF NUMBER :818170197031,Payment,,23
7/17/17,7/17/17,VENMO CASHOUT XXXXX2369 BRITTANY MAYES,Transfer,,123.02
7/14/17,7/14/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-2,
7/14/17,7/14/17,Hello Digit Inc. Savings ZkiwNZ-5Ozb1ejv Brittany Mayes,Savings,-5.95,
7/14/17,7/14/17,PURCHASE AUTHORIZED ON 07/12 SEASONS CULINARY S WASHINGTON DC S587193604417056 CARD 4759,Dining,-17,
7/13/17,7/13/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
7/13/17,7/13/17,PURCHASE AUTHORIZED ON 07/13 WUNDER GARTEN WASHINGTON DC S387193811004442 CARD 4759,Dining,-6.9,
